Sexe du membre;Nombre de 2rm conduits par le membre;Département d habitation en France;Tranche_âge;Année de mise en circulation du 2rm 1;Cylindrée du 2rm 1;Segment du 2rm 1;Aviez-vous l’intention de changer de 2-roues motorisé en 2020 ?
Homme;1;75;Moins de 30 ans;2015;1000;Trail / Supermotard;False
Homme;2;12;40-49 ans;2006;1200;Roadster;False
Homme;2;51;60-69 ans;2003;1200;Roadster;True
Homme;2;76;30-39 ans;1985;125;Custom;False
Homme;4;92;50-59 ans;2018;750;Roadster;False
Homme;2;33;50-59 ans;2009;1200;Routière / GT;True
Homme;1;69;50-59 ans;2005;1800;Routière / GT;False
Homme;2;44;70 et plus;2013;125;Roadster;False
Homme;2;34;60-69 ans;2011;800;Roadster;False
Homme;1;28;30-39 ans;2007;1300;Routière / GT;False
Homme;1;88;60-69 ans;1999;1100;Routière / GT;True
Homme;1;91;60-69 ans;2013;1300;Routière / GT;False
Homme;1;10;40-49 ans;2017;1290;Roadster;False
Homme;2;89;40-49 ans;1997;750;Routière / GT;False
Homme;2;64;50-59 ans;2004;750;Roadster;True
Homme;1;38;Moins de 30 ans;2018;850;Roadster;False
Femme;1;25;Moins de 30 ans;2015;821;Roadster;False
Homme;2;6;60-69 ans;2009;125;Scooter;False
Homme;1;28;50-59 ans;2013;50;Scooter;False
Homme;3;42;40-49 ans;2009;1200;Trail / Supermotard;False
Homme;2;42;40-49 ans;2014;1200;Trail / Supermotard;False
Homme;3;2;50-59 ans;2009;1200;Trail / Supermotard;False
Homme;4;33;40-49 ans;2011;800;Routière / GT;False
Homme;1;38;30-39 ans;2010;650;Roadster;True
Homme;1;5;50-59 ans;1989;1400;Custom;False
Homme;3;92;40-49 ans;2016;1200;Roadster;True
Homme;1;1;50-59 ans;2011;800;Roadster;False
Homme;3;88;50-59 ans;2004;1200;Trail / Supermotard;True
Homme;5;32;50-59 ans;2002;1300;Routière / GT;False
Homme;1;95;30-39 ans;2010;300;Scooter;False
Homme;2;38;50-59 ans;2001;1000;Sportive;False
Homme;3;93;40-49 ans;2010;1000;Roadster;False
Homme;2;33;50-59 ans;2015;1400;Routière / GT;False
Homme;1;21;40-49 ans;2012;1200;Roadster;False
Homme;3;24;60-69 ans;2009;750;Side-car / Trike;False
Homme;1;84;40-49 ans;2003;600;Tout terrain (Trial,  Enduro, Cross);False
Homme;1;6;50-59 ans;2010;660;Trail / Supermotard;False
Homme;1;69;60-69 ans;2014;1000;Roadster;False
Homme;2;54;40-49 ans;2016;700;Roadster;False
Homme;1;31;60-69 ans;2019;750;Custom;False
Homme;2;59;30-39 ans;2008;1000;Roadster;False
