Répondant;Trois premiers mots;Liberté;Plaisir / bonheur / heureux / enfin;Balade / promenade / gaz / rouler / moto;Sécurité / danger;Social / amis / famille / enfant;Trois premiers mots;;;Quels ont été, pour vous, les inconvénients du confinement ?;Aucun;Liberté / contrainte / bloqué / isolement / bouger / mobilité / moto / sortir / déplacement / enfermement;Financier / Argent / Revenu;Social / ami / famille;Inconvénients;;;Quels ont été, pour vous, les avantages du confinement ?;Aucun;Circulation;Temps / Libre / repos / calme / stress;Pollution / nature;Epidémie / virus / contamination;Economie / carburant / coût;Avantages;
103181430;enfin rouler liberté;enfin rouler liberté;enfin rouler liberté;enfin rouler liberté;;;;;;impossibilité de voir la famille et les amis;;;;impossibilité de voir la famille et les amis;;;;Aucun avantage;Aucun avantage;;;;;;;
103181150;Liberté Calme Vérité;Liberté Calme Vérité;;;;;;;;Isolement.;;Isolement.;;;;;;Moins de dépenses.;;;;;;;;
103181127;un peu plus de liberte revoir des amis aller dans les magasins fermé pendant le confinement;un peu plus de liberte revoir des amis aller dans les magasins fermé pendant le confinement;;;;un peu plus de liberte revoir des amis aller dans les magasins fermé pendant le confinement;;;;ne pas pouvoir aller dans les magasins;;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103181330;Retour en ville Peu de circulation. Air pas pollué;;;;;;;;;Angoisse du lendemain;;;;;;;;Temps passé en famille;;;Temps passé en famille;;;;;
103181365;Road trip Copain Defoulement;;;;;Road trip Copain Defoulement;;;;Isolement et la solitude;;Isolement et la solitude;;;;;;J ai pu avancer énormément sur tout les travaux de la maison et des motos.;;;;;;;;
103181350;excès de vitesse excès de confiance inconscience;;;;;;;;;Aucun inconvénient;Aucun inconvénient;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103181255;enfin libre balades;;enfin libre balades;enfin libre balades;;;;;;moins de rencontre;;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103181451;ballades  ;;;ballades  ;;;;;;Ne plus voir sa famille;;;;Ne plus voir sa famille;;;;Aucun avantage;Aucun avantage;;;;;;;
103181347;ballade copain convivialité;;;ballade copain convivialité;;ballade copain convivialité;;;;Aucun inconvénient;Aucun inconvénient;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103181454;ballade copains apero;;;ballade copains apero;;ballade copains apero;;;;ne pas bouger, voir personne;;ne pas bouger, voir personne;;;;;;moin de curculation, qualite de l air meilleur;;;;;;;;
