Situation familiale;Sexe du membre;Nombre de personnes dans le foyer;Nombre de 2rm conduits par le membre;Nombre denfants à charge;Département dhabitation en France;Tranche_âge;Année de mise en circulation du 2rm 1;Assurance du 2rm 1;Cylindrée du 2rm 1;Fréquence dutilisation du 2rm 1;Nombre de kilomètres parcourus par an avec 2rm 1;Appellation du 2rm 1;Marque du 2rm 1;Segment du 2rm 1;Stationnement du 2RM 1;Usage du 2rm 1;Budget 2-roues (hors carburant);Votre profession :;Votre catégorie socioprofessionnelle :;Aviez-vous l’intention de changer de 2-roues motorisé en 2020 ?
Seul(e) sans enfant;Homme;1;1;0;91;40-49 ans;2005;MUTUELLE DES MOTARDS;1300;Quelques fois par semaine;8000;CB-S ABS;HONDA;Roadster;Garage individuel (ou box privatif);Pour les loisirs;500;facteur;Employé;False
En couple avec enfant(s);Homme;3;1;1;91;50-59 ans;2013;FMA;1200;Quelques fois par semaine;8000;VFR-F;HONDA;Routière / GT;Garage individuel (ou box privatif);Pour les trajets professionnels;;Business Developer;Cadre;True
En couple avec enfant(s);Homme;4;1;2;95;40-49 ans;2016;AMV (ASSURANCE MOTO VERTE);1050;Tous les jours;20000;SPEED TRIPLE S;TRIUMPH;Roadster;Parking privé clos;Pour les trajets domicile travail;;Consultant Avant Vente IT;Cadre;False
En couple sans enfant;Homme;2;1;0;77;30-39 ans;2012;AMV (ASSURANCE MOTO VERTE);1200;Tous les jours;19000;VFR-F DUAL CT;HONDA;Routière / GT;Parking privé clos;Pour les trajets domicile travail;1000;Formateur;Cadre;False
En couple sans enfant;Homme;2;1;0;59;60-69 ans;2007;MAAF;1200;Quelques fois par semaine;5000;SPORTSTER LOW;HARLEY-DAVIDSON;Roadster;Garage individuel (ou box privatif);Pour les loisirs;;RETRAITE;Retraité;False
En couple sans enfant;Homme;2;3;0;87;50-59 ans;2013;MUTUELLE DES MOTARDS;1200;Quelques fois par semaine;25000;R1200RT;BMW;Routière / GT;Garage individuel (ou box privatif);Pour les trajets domicile travail;750;Agent de maîtrise;Profession intermédiaire;False
En couple avec enfant(s);Homme;5;1;3;91;40-49 ans;2019;MUTUELLE DES MOTARDS;900;Tous les jours;16000;TRACER 900GT;YAMAHA;Roadster;Garage individuel (ou box privatif);Pour les trajets domicile travail;1000;Responsable informatique;Cadre;False
En couple avec enfant(s);Homme;5;1;3;33;50-59 ans;2007;AXA;1000;Tous les jours;5000;MONSTER S2R;DUCATI;Roadster;Garage individuel (ou box privatif);Pour les trajets domicile travail;1000;Ingénieur;Cadre;False
En couple sans enfant;Homme;2;1;0;74;40-49 ans;2003;MAAF;900;Quelques fois par mois;3000;TDM;YAMAHA;Roadster;Garage individuel (ou box privatif);Pour les loisirs;150;Chargé de stationnement;Employé;False
En couple sans enfant;Homme;2;2;0;6;50-59 ans;1999;MUTUELLE DES MOTARDS;1100;Quelques fois par mois;5000;ZRX;KAWASAKI;Roadster;Autre;Pour les loisirs;1000;Technicien SAV;Employé;False
